Date,Holiday,Weekend,Temperature,Bookings,Events,Occupancy,GuestCount
2017-03-12,0,1,21.0,281,0,53,482
2017-03-13,0,0,25.6,169,0,34,292
2017-03-14,0,0,27.4,157,0,28,241
2017-03-15,0,0,29.8,195,0,38,302
2017-03-16,0,0,30.5,140,0,27,264
2017-03-17,0,0,33.0,176,0,31,296
2017-03-18,0,1,18.7,325,1,67,562
2017-03-19,0,1,32.6,298,0,64,495
2017-03-20,0,0,23.2,205,0,42,364
2017-03-21,0,0,35.8,184,0,39,309
2017-03-22,0,0,34.6,193,0,35,350
2017-03-23,0,0,34.2,148,0,35,236
2017-03-24,0,0,22.3,162,0,29,267
2017-03-25,0,1,29.8,233,0,48,369
2017-03-26,0,1,28.6,235,0,44,432
2017-03-27,0,0,33.0,175,0,31,315
2017-03-28,0,0,20.2,178,0,39,280
2017-03-29,0,0,30.1,159,0,29,241
2017-03-30,0,0,22.0,209,0,38,363
2017-03-31,0,0,27.9,206,0,42,358
2017-04-01,0,1,24.1,261,0,52,462
2017-04-02,0,1,20.0,258,0,53,500
2017-04-03,0,0,25.3,154,0,31,291
2017-04-04,0,0,25.6,190,0,34,348
2017-04-05,0,0,19.6,209,0,41,356
2017-04-06,0,0,29.3,196,0,41,373
2017-04-07,0,0,21.9,198,0,35,345
2017-04-08,0,1,27.5,256,0,52,407
2017-04-09,0,1,34.2,260,0,50,394
2017-04-10,0,0,19.5,169,0,32,257
2017-04-11,0,0,35.8,194,0,41,364
2017-04-12,0,0,30.1,155,0,29,268
2017-04-13,0,0,33.4,189,0,37,372
2017-04-14,0,0,35.1,274,1,62,541
2017-04-15,0,1,27.6,301,0,56,527
2017-04-16,0,1,23.0,301,0,60,490
2017-04-17,0,0,19.4,150,0,29,237
2017-04-18,0,0,29.0,177,0,30,348
2017-04-19,0,0,28.4,196,0,42,351
2017-04-20,0,0,25.2,191,0,37,373
2017-04-21,0,0,23.8,203,0,46,333
2017-04-22,0,1,34.7,251,0,48,486
2017-04-23,0,1,33.4,245,0,47,418
2017-04-24,0,0,30.0,218,0,44,373
2017-04-25,0,0,27.2,153,0,26,300
2017-04-26,0,0,34.6,155,0,27,256
2017-04-27,0,0,21.2,177,0,33,340
2017-04-28,0,0,31.0,165,0,30,298
2017-04-29,0,1,19.3,357,1,76,661
2017-04-30,0,1,22.9,302,0,64,523
2017-05-01,0,0,29.5,187,0,36,295
2017-05-02,0,0,35.6,169,0,32,300
2017-05-03,0,0,25.2,188,0,33,364
2017-05-04,0,0,26.2,177,0,31,273
2017-05-05,0,0,31.4,222,1,48,436
2017-05-06,0,1,23.2,272,0,52,521
2017-05-07,0,1,32.6,307,0,58,602
2017-05-08,0,0,35.9,158,0,27,301
2017-05-09,0,0,21.1,194,0,39,299
2017-05-10,0,0,24.0,150,0,30,279
2017-05-11,0,0,34.6,209,0,40,330
2017-05-12,0,0,31.5,212,0,40,347
2017-05-13,0,1,25.7,244,0,53,444
2017-05-14,0,1,20.1,273,0,53,529
2017-05-15,0,0,24.1,230,1,48,451
2017-05-16,0,0,24.6,163,0,32,261
2017-05-17,0,0,28.8,193,0,35,324
2017-05-18,0,0,26.9,209,0,38,340
2017-05-19,0,0,34.4,163,0,38,268
2017-05-20,0,1,31.4,282,0,54,433
2017-05-21,0,1,23.8,298,0,57,507
2017-05-22,0,0,30.8,206,0,36,320
2017-05-23,0,0,29.3,140,0,32,249
2017-05-24,0,0,19.8,142,0,26,270
2017-05-25,0,0,21.9,161,0,30,256
2017-05-26,0,0,19.0,141,0,26,267
2017-05-27,0,1,18.7,309,0,58,612
2017-05-28,0,1,21.3,287,0,57,435
2017-05-29,0,0,20.9,210,0,44,357
2017-05-30,0,0,31.0,214,0,41,329
2017-05-31,0,0,33.6,184,0,32,340
2017-06-01,0,0,20.4,167,0,34,269
2017-06-02,0,0,28.3,217,0,44,363
2017-06-03,0,1,29.1,288,0,61,556
2017-06-04,0,1,20.4,278,0,60,491
2017-06-05,0,0,32.5,217,0,40,398
2017-06-06,0,0,18.2,201,0,41,394
2017-06-07,0,0,27.3,206,0,44,331
2017-06-08,0,0,23.0,150,0,31,256
2017-06-09,0,0,28.1,201,0,38,322
2017-06-10,0,1,22.9,310,0,58,494
2017-06-11,0,1,24.2,296,0,60,572
2017-06-12,0,0,32.0,147,0,25,249
2017-06-13,0,0,21.6,217,0,43,379
2017-06-14,0,0,22.5,215,0,44,413
2017-06-15,0,0,20.3,291,1,61,476
2017-06-16,0,0,25.3,163,0,35,266
2017-06-17,0,1,20.2,234,0,46,352
2017-06-18,0,1,32.7,296,0,61,460
2017-06-19,0,0,26.2,215,0,44,343
2017-06-20,0,0,29.6,196,0,43,363
2017-06-21,0,0,30.2,182,0,41,350
2017-06-22,0,0,27.9,220,0,40,356
2017-06-23,0,0,27.7,219,0,39,430
2017-06-24,0,1,32.4,290,0,59,487
2017-06-25,0,1,32.1,315,1,66,621
2017-06-26,0,0,23.5,191,0,43,290
2017-06-27,0,0,35.3,185,0,38,344
2017-06-28,0,0,32.2,224,1,44,442
2017-06-29,0,0,27.3,141,0,23,280
2017-06-30,0,0,26.2,158,0,30,278
2017-07-01,0,1,34.0,276,0,56,501
2017-07-02,0,1,29.8,268,0,53,451
2017-07-03,0,0,28.4,196,0,43,361
2017-07-04,1,0,31.0,291,0,64,569
2017-07-05,0,0,33.4,194,0,44,378
2017-07-06,0,0,19.6,213,0,40,347
2017-07-07,0,0,26.8,209,0,43,330
2017-07-08,0,1,28.7,235,0,44,464
2017-07-09,0,1,21.9,262,0,48,436
2017-07-10,0,0,28.8,191,0,36,369
2017-07-11,0,0,30.7,159,0,33,262
2017-07-12,0,0,29.9,145,0,30,246
2017-07-13,0,0,30.1,217,0,38,423
2017-07-14,0,0,24.3,189,0,40,330
2017-07-15,0,1,34.8,242,0,51,389
2017-07-16,0,1,33.6,248,0,51,443
2017-07-17,0,0,35.1,218,0,41,344
2017-07-18,0,0,23.4,187,0,38,292
2017-07-19,0,0,33.1,201,0,43,337
2017-07-20,0,0,32.6,176,0,33,341
2017-07-21,0,0,32.9,164,0,37,263
2017-07-22,0,1,21.0,295,0,58,570
2017-07-23,0,1,32.0,269,0,51,461
2017-07-24,0,0,33.8,140,0,26,232
2017-07-25,0,0,21.3,171,0,34,273
2017-07-26,0,0,30.3,176,0,32,322
2017-07-27,0,0,25.6,180,0,31,298
2017-07-28,0,0,20.7,179,0,37,320
2017-07-29,0,1,33.9,302,0,65,549
2017-07-30,0,1,24.1,244,0,51,466
2017-07-31,0,0,22.7,181,0,31,280
2017-08-01,0,0,25.0,289,1,62,470
2017-08-02,0,0,34.7,208,0,45,355
2017-08-03,0,0,33.0,145,0,30,231
2017-08-04,0,0,28.3,167,0,35,315
2017-08-05,0,1,30.1,290,0,53,533
2017-08-06,0,1,28.1,232,0,47,398
2017-08-07,0,0,26.7,148,0,35,274
2017-08-08,0,0,29.9,217,0,41,337
2017-08-09,0,0,20.4,180,0,39,341
2017-08-10,0,0,25.8,144,0,30,219
2017-08-11,0,0,29.0,191,0,39,381
2017-08-12,0,1,23.8,296,0,60,475
2017-08-13,0,1,35.0,300,0,63,589
2017-08-14,0,0,35.1,164,0,33,307
2017-08-15,0,0,19.9,195,0,34,305
2017-08-16,0,0,18.1,185,0,40,314
2017-08-17,0,0,33.9,154,0,30,293
2017-08-18,0,0,18.2,170,0,36,329
2017-08-19,0,1,35.4,286,0,58,472
2017-08-20,0,1,21.0,296,0,54,538
2017-08-21,0,0,32.7,182,0,32,311
2017-08-22,0,0,21.1,161,0,27,246
2017-08-23,0,0,32.2,165,0,29,284
2017-08-24,0,0,20.4,235,1,51,423
2017-08-25,0,0,30.8,197,0,39,366
2017-08-26,0,1,21.5,292,0,59,580
2017-08-27,0,1,31.6,310,0,62,600
2017-08-28,0,0,23.2,157,0,30,246
2017-08-29,0,0,32.2,212,0,47,413
2017-08-30,0,0,27.9,169,0,31,257
2017-08-31,0,0,19.7,251,1,56,486
2017-09-01,0,0,32.4,226,1,51,400
2017-09-02,0,1,26.6,250,0,50,417
2017-09-03,0,1,22.6,274,0,58,461
2017-09-04,0,0,18.3,177,0,39,290
2017-09-05,0,0,25.1,190,0,39,321
2017-09-06,0,0,29.1,210,0,38,333
2017-09-07,0,0,28.6,190,0,34,311
2017-09-08,0,0,35.1,155,0,36,300
2017-09-09,0,1,32.5,250,0,46,389
2017-09-10,0,1,33.0,287,0,58,512
2017-09-11,0,0,30.3,147,0,25,224
2017-09-12,0,0,28.5,189,0,38,298
2017-09-13,0,0,26.4,196,0,41,312
2017-09-14,0,0,18.5,158,0,37,305
2017-09-15,0,0,29.6,159,0,33,239
2017-09-16,0,1,30.6,307,0,61,540
2017-09-17,0,1,23.1,274,0,57,496
2017-09-18,0,0,32.5,215,0,38,344
2017-09-19,0,0,23.5,157,0,29,269
2017-09-20,0,0,32.0,200,0,38,344
2017-09-21,0,0,33.6,154,0,36,286
2017-09-22,0,0,34.1,158,0,29,266
2017-09-23,0,1,28.4,305,0,58,591
2017-09-24,0,1,30.0,242,0,46,482
2017-09-25,0,0,35.4,141,0,27,272
2017-09-26,0,0,29.7,142,0,32,222
2017-09-27,0,0,34.3,203,0,43,355
2017-09-28,0,0,19.4,162,0,35,256
2017-09-29,0,0,27.1,220,0,44,418
2017-09-30,0,1,21.5,233,0,50,441
2017-10-01,0,1,19.1,272,0,50,528
2017-10-02,0,0,23.0,214,0,41,332
2017-10-03,0,0,18.2,206,0,41,346
2017-10-04,0,0,33.6,167,0,32,285
2017-10-05,0,0,23.2,203,0,44,320
2017-10-06,0,0,27.4,179,0,35,328
2017-10-07,0,1,19.5,307,0,56,546
2017-10-08,0,1,21.9,254,0,46,406
2017-10-09,0,0,27.4,157,0,32,266
2017-10-10,0,0,26.2,171,0,30,313
2017-10-11,0,0,22.6,186,0,37,279
2017-10-12,0,0,26.7,140,0,26,274
2017-10-13,0,0,31.1,160,0,32,242
2017-10-14,0,1,27.9,264,0,53,474
2017-10-15,0,1,24.9,249,0,51,464
2017-10-16,0,0,21.6,181,0,34,325
2017-10-17,0,0,34.0,178,0,33,311
2017-10-18,0,0,28.5,167,0,36,297
2017-10-19,0,0,31.8,148,0,29,264
2017-10-20,0,0,20.6,175,0,35,290
2017-10-21,0,1,26.1,279,0,57,498
2017-10-22,0,1,30.9,280,0,60,441
2017-10-23,0,0,26.9,199,0,43,350
2017-10-24,0,0,28.0,148,0,30,260
2017-10-25,0,0,20.4,204,0,43,323
2017-10-26,0,0,35.7,158,0,27,287
2017-10-27,0,0,19.3,190,0,38,379
2017-10-28,0,1,22.8,261,0,53,510
2017-10-29,0,1,26.1,238,0,50,396
2017-10-30,0,0,26.9,189,0,42,333
2017-10-31,1,0,27.5,280,0,58,463
2017-11-01,0,0,23.0,158,0,31,299
2017-11-02,0,0,26.8,300,1,62,544
2017-11-03,0,0,25.6,214,0,39,328
2017-11-04,0,1,20.4,272,0,57,522
2017-11-05,0,1,30.3,250,0,50,421
2017-11-06,0,0,19.6,143,0,25,262
2017-11-07,0,0,23.5,164,0,36,305
2017-11-08,0,0,29.3,144,0,32,242
2017-11-09,0,0,34.6,210,0,39,392
2017-11-10,0,0,22.5,196,0,34,330
2017-11-11,0,1,25.2,284,0,55,502
2017-11-12,0,1,28.0,268,0,52,501
2017-11-13,0,0,23.4,290,1,61,505
2017-11-14,0,0,28.7,140,0,24,226
2017-11-15,0,0,26.2,141,0,23,234
2017-11-16,0,0,33.8,167,0,36,287
2017-11-17,0,0,33.8,179,0,41,302
2017-11-18,0,1,28.8,265,0,52,497
2017-11-19,0,1,26.5,258,0,55,484
2017-11-20,0,0,23.4,216,0,45,365
2017-11-21,0,0,22.3,170,0,32,291
2017-11-22,0,0,29.9,152,0,27,265
2017-11-23,0,0,22.6,148,0,32,252
2017-11-24,0,0,20.2,155,0,27,286
2017-11-25,1,1,24.6,416,0,85,793
2017-11-26,0,1,34.7,278,0,51,512
2017-11-27,0,0,29.1,145,0,26,244
2017-11-28,0,0,32.7,166,0,32,265
2017-11-29,0,0,29.4,174,0,35,271
2017-11-30,0,0,29.9,202,0,44,377
2017-12-01,0,0,21.5,300,1,68,461
2017-12-02,0,1,31.5,244,0,44,378
2017-12-03,0,1,23.6,266,0,50,495
2017-12-04,0,0,36.0,141,0,26,241
2017-12-05,0,0,25.8,169,0,33,265
2017-12-06,0,0,23.8,152,0,33,286
2017-12-07,0,0,27.9,191,0,40,328
2017-12-08,0,0,33.0,140,0,28,241
2017-12-09,0,1,27.6,277,0,59,487
2017-12-10,0,1,29.2,267,0,50,515
2017-12-11,0,0,34.5,203,0,40,386
2017-12-12,0,0,31.4,157,0,27,302
2017-12-13,0,0,35.4,210,0,43,383
2017-12-14,0,0,35.9,159,0,35,285
2017-12-15,0,0,30.4,191,0,33,331
2017-12-16,0,1,23.8,231,0,43,440
2017-12-17,0,1,30.8,280,0,56,432
2017-12-18,0,0,34.5,211,0,42,353
2017-12-19,0,0,25.0,185,0,41,335
2017-12-20,0,0,26.6,155,0,32,253
2017-12-21,0,0,33.3,203,0,36,334
2017-12-22,0,0,22.1,195,0,37,364
2017-12-23,0,1,23.7,283,0,60,473
2017-12-24,1,1,27.9,350,0,77,529
2017-12-25,1,0,24.3,313,0,72,551
2017-12-26,0,0,33.4,160,0,28,267
2017-12-27,0,0,22.9,185,0,34,282
2017-12-28,0,0,23.2,156,0,33,295
2017-12-29,0,0,28.7,146,0,32,246
2017-12-30,0,1,33.1,269,0,59,498
2017-12-31,1,1,32.6,380,0,80,715
2018-01-01,1,0,23.2,304,0,66,467
2018-01-02,0,0,28.0,142,0,23,268
2018-01-03,0,0,20.6,157,0,31,275
2018-01-04,0,0,29.2,189,0,43,342
2018-01-05,0,0,20.2,156,0,30,310
2018-01-06,0,1,19.2,294,0,60,484
2018-01-07,0,1,32.6,296,0,56,515
2018-01-08,0,0,18.8,140,0,32,233
2018-01-09,0,0,27.9,177,0,31,295
2018-01-10,0,0,27.9,142,0,24,216
2018-01-11,0,0,21.4,269,1,63,510
2018-01-12,0,0,21.9,147,0,30,226
2018-01-13,0,1,34.6,243,0,54,452
2018-01-14,0,1,23.0,257,0,50,415
2018-01-15,0,0,18.2,173,0,40,340
2018-01-16,0,0,26.2,153,0,28,283
2018-01-17,0,0,20.3,214,0,47,345
2018-01-18,0,0,24.3,197,0,39,348
2018-01-19,0,0,20.4,171,0,34,277
2018-01-20,0,1,30.2,272,0,57,532
2018-01-21,0,1,32.9,307,0,58,587
2018-01-22,0,0,21.3,219,0,43,346
2018-01-23,0,0,26.8,194,0,38,376
2018-01-24,0,0,19.1,149,0,30,271
2018-01-25,0,0,26.4,140,0,25,248
2018-01-26,0,0,31.8,159,0,27,266
2018-01-27,0,1,27.5,231,0,44,453
2018-01-28,0,1,24.9,238,0,47,364
2018-01-29,0,0,18.1,141,0,28,268
2018-01-30,0,0,30.5,196,0,38,343
2018-01-31,0,0,19.2,213,0,39,404
2018-02-01,0,0,26.3,202,0,35,373
2018-02-02,0,0,25.8,209,0,38,402
2018-02-03,0,1,24.1,266,0,53,457
2018-02-04,0,1,29.0,276,0,60,422
2018-02-05,0,0,30.6,162,0,36,251
2018-02-06,0,0,33.2,179,0,32,298
2018-02-07,0,0,27.9,300,1,65,516
2018-02-08,0,0,22.8,148,0,30,241
2018-02-09,0,0,30.5,153,0,32,279
2018-02-10,0,1,30.8,283,0,56,500
2018-02-11,0,1,21.8,280,0,52,521
2018-02-12,0,0,33.3,176,0,39,320
2018-02-13,0,0,33.9,205,0,36,318
2018-02-14,1,0,26.3,261,0,55,405
2018-02-15,0,0,30.3,150,0,26,274
2018-02-16,0,0,24.5,167,0,36,266
2018-02-17,0,1,33.1,299,0,64,493
2018-02-18,0,1,24.6,287,0,62,434
2018-02-19,0,0,31.8,189,0,33,366
2018-02-20,0,0,20.3,185,0,35,302
2018-02-21,0,0,25.1,248,1,50,399
2018-02-22,0,0,20.3,200,0,43,311
2018-02-23,0,0,25.5,187,0,42,300
2018-02-24,0,1,35.1,277,0,51,445
2018-02-25,0,1,24.6,259,0,56,431
2018-02-26,0,0,32.5,217,0,39,406
2018-02-27,0,0,22.0,220,0,46,438
2018-02-28,0,0,23.4,169,0,32,337
2018-03-01,0,0,18.2,168,0,33,276
2018-03-02,0,0,25.4,156,0,33,248
2018-03-03,0,1,18.7,279,0,52,456
2018-03-04,0,1,26.8,241,0,44,397
2018-03-05,0,0,28.4,220,0,40,336
2018-03-06,0,0,33.5,213,0,43,383
2018-03-07,0,0,21.0,253,1,55,454
2018-03-08,0,0,24.0,225,1,48,413
2018-03-09,0,0,33.5,150,0,31,227
2018-03-10,0,1,25.8,276,0,53,524
2018-03-11,0,1,18.4,314,1,65,519
2018-03-12,0,0,26.7,190,0,33,341
2018-03-13,0,0,31.5,242,1,57,447
2018-03-14,0,0,25.6,175,0,37,333
2018-03-15,0,0,21.0,206,0,44,400
2018-03-16,0,0,25.5,159,0,35,291
2018-03-17,0,1,24.4,255,0,46,461
2018-03-18,0,1,26.9,315,1,67,559
2018-03-19,0,0,29.0,180,0,36,299
2018-03-20,0,0,31.8,150,0,32,298
2018-03-21,0,0,34.5,153,0,26,234
2018-03-22,0,0,18.5,170,0,36,291
2018-03-23,0,0,22.2,214,0,47,380
2018-03-24,0,1,34.6,290,0,61,530
2018-03-25,0,1,35.3,290,0,53,459
2018-03-26,0,0,25.1,155,0,29,235
2018-03-27,0,0,26.4,158,0,35,257
2018-03-28,0,0,34.0,148,0,35,276
2018-03-29,0,0,21.3,264,1,52,425
2018-03-30,0,0,20.6,209,0,46,413
2018-03-31,0,1,27.5,291,0,55,539
2018-04-01,0,1,32.3,272,0,58,443
2018-04-02,0,0,22.5,210,0,45,343
2018-04-03,0,0,20.3,159,0,36,313
2018-04-04,0,0,20.7,197,0,39,318
2018-04-05,0,0,33.9,275,1,55,486
2018-04-06,0,0,28.9,203,0,42,394
2018-04-07,0,1,23.0,236,0,43,417
2018-04-08,0,1,34.4,302,0,60,527
2018-04-09,0,0,34.5,196,0,41,323
2018-04-10,0,0,33.2,154,0,36,236
2018-04-11,0,0,22.7,150,0,30,227
2018-04-12,0,0,24.4,205,0,40,343
2018-04-13,0,0,23.1,210,0,47,332
2018-04-14,0,1,21.7,300,0,58,560
2018-04-15,0,1,26.0,274,0,52,530
2018-04-16,0,0,27.4,197,0,36,298
2018-04-17,0,0,34.0,275,1,62,437
2018-04-18,0,0,33.5,177,0,35,325
2018-04-19,0,0,20.8,220,1,48,413
2018-04-20,0,0,29.1,187,0,39,346
2018-04-21,0,1,27.9,250,0,55,404
2018-04-22,0,1,29.5,247,0,48,376
2018-04-23,0,0,28.3,210,0,40,374
2018-04-24,0,0,24.5,193,0,38,341
2018-04-25,0,0,22.4,143,0,31,231
2018-04-26,0,0,21.8,180,0,40,291
2018-04-27,0,0,18.6,212,0,45,394
2018-04-28,0,1,34.6,249,0,54,473
2018-04-29,0,1,33.5,321,1,67,611
2018-04-30,0,0,26.1,164,0,29,276
2018-05-01,0,0,28.7,170,0,34,277
2018-05-02,0,0,24.0,157,0,30,240
2018-05-03,0,0,28.0,198,0,35,378
2018-05-04,0,0,18.9,186,0,41,309
2018-05-05,0,1,31.2,246,0,53,438
2018-05-06,0,1,18.5,254,0,51,454
2018-05-07,0,0,33.0,145,0,31,251
2018-05-08,0,0,22.0,196,0,44,325
2018-05-09,0,0,19.4,278,1,60,442
2018-05-10,0,0,34.3,205,0,39,349
2018-05-11,0,0,30.4,203,0,38,325
2018-05-12,0,1,26.9,262,0,49,500
2018-05-13,0,1,33.7,364,1,72,664
2018-05-14,0,0,29.6,154,0,31,247
2018-05-15,0,0,33.6,151,0,33,300
2018-05-16,0,0,29.1,200,0,42,354
2018-05-17,0,0,31.4,161,0,34,305
2018-05-18,0,0,31.8,177,0,31,301
2018-05-19,0,1,25.4,273,0,52,475
2018-05-20,0,1,19.0,272,0,55,526
2018-05-21,0,0,35.3,148,0,28,280
2018-05-22,0,0,28.9,194,0,43,336
2018-05-23,0,0,24.7,179,0,35,276
2018-05-24,0,0,28.7,204,0,36,315
2018-05-25,0,0,24.7,169,0,38,320
2018-05-26,0,1,21.5,308,0,65,553
2018-05-27,0,1,35.6,347,1,75,684
2018-05-28,0,0,29.8,278,1,64,474
2018-05-29,0,0,29.3,226,1,46,374
2018-05-30,0,0,22.8,195,0,44,360
2018-05-31,0,0,18.1,175,0,37,315
2018-06-01,0,0,22.1,221,1,46,404
2018-06-02,0,1,19.7,261,0,54,484
2018-06-03,0,1,21.8,252,0,54,471
2018-06-04,0,0,27.9,185,0,36,294
2018-06-05,0,0,28.5,157,0,26,241
2018-06-06,0,0,29.9,140,0,24,267
2018-06-07,0,0,23.0,289,1,58,552
2018-06-08,0,0,25.8,173,0,30,269
2018-06-09,0,1,19.9,336,1,70,603
2018-06-10,0,1,28.5,261,0,53,520
2018-06-11,0,0,29.6,152,0,34,231
2018-06-12,0,0,26.4,212,0,41,361
2018-06-13,0,0,34.3,185,0,34,342
2018-06-14,0,0,23.6,181,0,32,343
2018-06-15,0,0,33.1,194,0,41,335
2018-06-16,0,1,22.3,269,0,55,481
2018-06-17,0,1,20.6,252,0,46,416
2018-06-18,0,0,33.9,150,0,28,255
2018-06-19,0,0,23.6,205,0,45,373
2018-06-20,0,0,27.4,179,0,41,295
2018-06-21,0,0,24.8,171,0,30,333
2018-06-22,0,0,34.9,159,0,33,266
2018-06-23,0,1,23.5,308,0,62,550
2018-06-24,0,1,18.5,302,0,56,459
2018-06-25,0,0,34.7,147,0,28,286
2018-06-26,0,0,29.8,180,0,40,302
2018-06-27,0,0,23.4,176,0,32,345
2018-06-28,0,0,25.1,220,1,44,377
2018-06-29,0,0,33.9,200,0,39,339
2018-06-30,0,1,32.1,253,0,47,419
2018-07-01,0,1,31.8,309,0,66,574
2018-07-02,0,0,30.2,183,0,32,317
2018-07-03,0,0,21.8,234,1,52,354
2018-07-04,1,0,29.5,276,0,61,433
2018-07-05,0,0,20.6,197,0,37,385
2018-07-06,0,0,27.9,143,0,26,247
2018-07-07,0,1,29.0,267,0,52,463
2018-07-08,0,1,30.4,284,0,52,533
2018-07-09,0,0,28.4,218,0,49,346
2018-07-10,0,0,18.2,167,0,34,310
2018-07-11,0,0,19.1,200,0,40,327
2018-07-12,0,0,32.6,195,0,43,294
2018-07-13,0,0,22.7,268,1,58,531
2018-07-14,0,1,30.2,325,1,70,494
2018-07-15,0,1,26.7,245,0,46,452
2018-07-16,0,0,25.6,176,0,37,349
2018-07-17,0,0,33.5,175,0,33,344
2018-07-18,0,0,32.5,161,0,34,278
2018-07-19,0,0,29.9,157,0,35,276
2018-07-20,0,0,21.6,214,0,40,367
2018-07-21,0,1,31.6,254,0,49,443
2018-07-22,0,1,33.4,250,0,53,438
2018-07-23,0,0,33.2,202,0,41,334
2018-07-24,0,0,34.8,211,0,47,400
2018-07-25,0,0,31.7,210,0,40,373
2018-07-26,0,0,26.0,171,0,34,336
2018-07-27,0,0,30.7,143,0,29,230
2018-07-28,0,1,26.7,276,0,57,531
2018-07-29,0,1,32.0,288,0,53,550
2018-07-30,0,0,32.7,202,0,36,392
2018-07-31,0,0,32.7,143,0,25,243
2018-08-01,0,0,33.4,256,1,53,494
2018-08-02,0,0,27.3,209,0,38,341
2018-08-03,0,0,23.4,196,0,38,345
2018-08-04,0,1,18.8,265,0,56,425
2018-08-05,0,1,23.2,279,0,51,495
2018-08-06,0,0,29.9,181,0,41,331
2018-08-07,0,0,31.7,157,0,28,245
2018-08-08,0,0,32.9,169,0,32,277
2018-08-09,0,0,35.0,211,0,44,348
2018-08-10,0,0,19.9,203,0,46,364
2018-08-11,0,1,22.1,278,0,51,489
2018-08-12,0,1,34.7,231,0,51,444
2018-08-13,0,0,21.1,212,0,46,415
2018-08-14,0,0,20.1,200,0,35,301
2018-08-15,0,0,32.5,299,1,62,541
2018-08-16,0,0,33.2,167,0,30,320
2018-08-17,0,0,27.0,220,0,43,438
2018-08-18,0,1,34.0,257,0,47,486
2018-08-19,0,1,32.6,297,0,64,576
2018-08-20,0,0,27.3,164,0,30,299
2018-08-21,0,0,33.5,186,0,35,352
2018-08-22,0,0,23.8,144,0,29,262
2018-08-23,0,0,29.2,166,0,34,312
2018-08-24,0,0,33.9,159,0,34,261
2018-08-25,0,1,21.0,285,0,53,529
2018-08-26,0,1,30.0,250,0,53,454
2018-08-27,0,0,19.4,155,0,28,251
2018-08-28,0,0,30.4,183,0,32,355
